Year,Name,Placement,Acronym
2004,Chikako Yamauchi,"Economics Program, Research School of Social Sciences, The Australian National University, Canberra, Australia, Post-Doctoral Research Fellow",ucla
2004,Juan Pablo Medina Guzman,"Central Bank of Chile, Assistant Research Director",ucla
2004,Yan Y. Lee,"Division of Insurance and Research, Federal Deposit Insurance Corporation, Washington D.C., Economist",ucla
2004,Andrea Raffo,"Federal Reserve Bank, Kansas City, MO, Economist",ucla
2004,Kevin Caves,"Deloitte Tax LLP, Washington, D.C., Senior Consultant",ucla
2004,Junko Koeda,"International Monetary Fund, Economist",ucla
2004,Ruy Lama,"International Monetary Fund, Economist",ucla
2004,Ken Miyajima,"International Monetary Fund, Economist",ucla
2004,Ratika Narag,"PriceWaterhouseCoopers, Los Angeles, Associate",ucla
2004,Guillermo Tolosa,"International Monetary Fund, Washington D.C., Economist",ucla
2004,Ching Tai Watson,"Analysis Group, New York, NY, Associate",ucla
2004,Chris Edmond,"Economics, Stern School of Business, New York University, Assistant Professor",ucla
2003,Randy Hall,"Economics Department, University of Massachusetts, Assistant Professor",ucla
2003,Duol Kim,"Economics Department, Univeristy of California, Davis, Post-Doctoral",ucla
2003,Lea-Rachel Kosnik,"Economics Department, University of Missouri, St. Louis, Assistant Professor",ucla
2003,Oscar Mitnik,"Economics Department, University of Miami, Coral Cables, Florida, Assistant Professor",ucla
2003,Matthew Neidell,"School of Public Health, Columbia University, New York, Assistant Professor",ucla
2003,Marcos Rangel,"Harris School of Public Policy, University of Chicago, Assistant Professor",ucla
2003,Dhanoos Sutthiphisal,"Economics, McGill University, Montreal, Canada, Assistant Professor",ucla
2003,Joshua Wright,"Law School, George Mason University, Assistant Professor",ucla
2003,Ana María Aguilar Argáez,"Banco de México, Dirección de Análisis Macroeconómico",ucla
2003,Marcela Aurelio,"Research Department, Federal Reserve Bank, Kansas City, MO, Economist",ucla
2003,Benjamin Bolitzer,"Applied Research &amp; Methods, Center for Economics, U.S. General Accounting Office, Economist",ucla
2003,Chuling Chen,"Investments &amp; Capital Market Division, Modeling &amp; Research Dept., Federal Home Loan Mortage Corp., Consultant",ucla
2003,Jaime Guajardo,"Economist Program, International Monetary Fund, Economist",ucla
2003,Rebecca Acosta,"California Census Data Research Center, UCLA, Program Representative",ucla
2003,Gustavo Adler,"Economist Program, International Monetary Fund, Economist",ucla
2002,Marina Bassi,"Research Division, Inter-American Development Bank (IADB), Washington D.C., Consultant",ucla
2002,Namita Bhatia,"Charles River Associates, Washington D.C., Senior Associate",ucla
2002,Pablo Lopez Murphy,"Economist Program, International Monetary Fund, Economist",ucla
2002,Graciana Rucci,"The World Bank, Consultant",ucla
2002,Anna Aizer,"Brown University, Department of Economics, Assistant Professor",ucla
2002,Daniel Bogart,"University of California, Irvine, Department of Economics, Assistant Professor",ucla
2004,Eduardo Fajnzylber,"HEC Montreal (Management School affiliated with University of Montreal), Canada, Assistant Professor",ucla
2002,Wesley Hartmann,"Stanford University, School of Business, Assistant Professor",ucla
2002,Kentaro Iwatsubo,"Hitotsubashi University, Institute of Economic Research, Assistant Professor",ucla
2002,Ricardo A. Lopez,"Indiana University, Bloomington, Department of Economics, Assistant Professor",ucla
2001,Carlos Ponce,"University Carlos III, Madrid, Spain, Assistant Professor",ucla
2001,Carolyn Sissoko,"Occidental College, Department of Economics, Adjunct Assistant Professor",ucla
2001,Mo Xiao,"Iowa State University, Ames, Department of Economics, Assistant Professor",ucla
2001,Andres Arias,"Government of Colombia, Economic Adviser to the President",ucla
2001,Sungbin Cho,"Korea Development Institute (KDI), Research Fellow",ucla
2001,Eduardo Ganapolsky,"Federal Reserve Bank, Atlanta, Research Economist",ucla
2001,Ari Aisen,"International Monetary Fund, Economist",ucla
2001,Anantachoke Osangthammanont,"Fiscal Policy Research Institute, Bangkok, Thailand, Economist",ucla
2001,Anna Aizer,"Princeton University, Department of Economics, Post-Doctoral",ucla
2001,Margiee Bacolod,"University of California, Irvine, Department of Economics, Assistant Professor",ucla
2000,Bernardo Blum,"University of Toronto, Department of Economics, Assistant Professor",ucla
2000,Hung-Ju (Judy) Chen,"National Taiwan University, Department of Economics, Assistant Professor",ucla
2000,Szu-Wen (Eric) Chou,"Chinese University of Hong Kong, Department of Economics, Assistant Professor",ucla
2000,W. Bowman Cutter II,"University of California, Riverside, Department of Environmental Sciences, Assistant Professor",ucla
2000,Pedro Dal Bo,"Brown University, Department of Economics, Assistant Professor",ucla
2000,Matthew Neidell,"University of Chicago, Department of Economics, Post-Doctoral",ucla
2000,Jeffrey Brown,"Bates, White &amp; Ballentine, San Diego, Consultant",ucla
2000,Jae-Seung Lee,"ICF Consulting, Washington D.C, Consultant",ucla
2000,Alejandro Simone,"International Monetary Fund, Economist",ucla
2000,Mario Catalan,"Johns Hopkins University, Department of International Economics, Assistant Professor",ucla
1999,Toshiaki Iizuka,"Vanderbilt University, Owen Graduate School of Management, Assistant Professor",ucla
1999,Julie Holland Mortimer,"Harvard University, Department of Economics, Assistant Professor",ucla
1999,Kichool Park,"Cornell University, Department of Economics, Assistant Professor",ucla
1999,Rajesh Singh,"Iowa State University, Deparment of Economics, Assistant Professor",ucla
1999,Jose Wynne,"Duke University, Fuqua Shool of Business, Assistant Professor",ucla
1999,Ricardo Sanchez Baker,"Ministry of Finance, Mexico City, Mexico, Director of Capital Market Operations",ucla
1999,Eliana Garces,"Economics Analysis, Los Angeles, Economist",ucla
1999,Kyongchul Kim,"Analytic Inverstors, Los Angeles, Economist",ucla
1999,Sara A. Wong,"National Economic Consulting (NEC) Group of Pricewaterhouse Coopers LLP, Washington D.C., Senior Associate",ucla
1999,Qiao Liu,"School of Economics and Finance, University of Hong Kong, Assistant Professor",ucla
1999,Ginger Zhe Jin,"Department of Economics, University of Maryland, College Park, Assistant Professor",ucla
1999,Maria Belén Freire,"Central Bank, Ecuador, Economist",ucla
1999,Richard Barrett,"McKinsey and Company, New York City, Consultant",ucla
1999,M. Michael Cho,"McKinsey and Company, Los Angeles, Consultant",ucla
1999,John Fahr,"KPMG Economic Consulting Services, Washington D.C., Consultant",ucla
1999,Yuan Gao,"Arthur Andersen, Los Angeles, Consultant",ucla
